lat,lon,ref
50.1534885,14.0326636,KL001
50.2170331,13.5879527,
50.1646108,13.8702302,
48.9466100,16.6042600,
49.2912601,16.8078341,
49.2837276,16.8526129,
50.2411666,13.7123680,LN022
49.7073324,16.6609051,
50.1490285,13.8067195,RA027
49.2441171,16.7606032,
50.2965104,12.6735771,
50.3368135,12.6484761,
48.9313887,17.3213041,
49.1055397,17.2600076,
49.6845202,16.5981261,
49.8662212,14.6250042,BN011
49.8796394,14.6542255,BN012
49.9107539,14.6478611,
49.2082988,17.9744375,
50.0660466,16.8270165,
50.1097209,16.1131685,
50.0093779,16.1751493,
49.5638057,17.4896861,
