@lat,@lon,ref
49.8816073,14.5599962,BN009
49.9735390,14.1491185,BE005
49.9645401,13.9330325,BE008
50.0354240,14.7640030,KO001
50.3509101,14.3262852,ME001
50.4577804,14.5604038,ME 004
50.2138394,14.7831755,NY001
50.2978055,15.0214477,NY 002
50.3438345,15.1678459,NY008
50.1494045,14.9234142,NY011
49.9989774,14.7657035,PH003
50.1840618,14.7589543,PH007
50.2878095,14.6745403,PH008
50.2429218,14.7291323,PH009
50.0684135,14.6989766,PH 010
50.1897085,14.3414461,PZ003
49.5663797,13.8048603,PB 006
49.5493928,13.8323331,PB 007
49.5250718,13.8734802,PB 008
49.5534706,13.9974950,PB 009
49.6670419,14.0981164,PB 014
49.6793389,14.1611341,PB 017
49.7003311,14.4014970,PB020
50.2496797,13.7884134,RA046
50.2173657,13.7656352,RA047
49.6597505,18.7999813,FM034
49.5512137,18.6870742,FM 048
49.5440245,18.4948276,FM019
49.5609638,18.0025775,NJ 006
49.5831129,18.0908681,NJ014
49.5267827,18.0724367,NJ017
49.6797200,18.1486282,NJ 010
49.6031270,18.5736633,FM012
49.7201520,17.7294572,NJ002
49.5802441,18.0822517,NJ013
49.5694070,18.0822518,NJ012
50.0863952,17.5039772,BR 029
50.0176069,17.2507974,BR072
50.0360286,17.2170023,BR 070
49.7856312,18.4971591,KA009
49.7172984,18.2792766,FM001
49.5106239,18.4809401,FM021
49.5396507,18.4667852,FM011
49.6151315,18.5587322,FM027
49.4999541,18.5413520,FM025
49.9790208,16.9273467,SU083
49.9218175,16.8090385,SU099
49.9430245,16.7720877,SU097
49.9898440,16.8618932,SU078
49.8158389,17.2438915,OC011
49.7611311,16.8600544,SU101
49.2792186,13.9968623,ST 009
50.1507399,16.8452099,SU 067
50.1938076,16.8686904,SU064
49.7051534,17.1221801,OC009
49.9952242,17.0535506,SU 045
50.1059375,17.1906126,SU027
50.0912263,17.1199772,SU008
49.6186729,17.7861142,PR001
49.6169420,17.6381750,PR003
49.6560292,16.8593319,PV002
49.5109944,17.6443616,PR004
49.6030011,17.0382358,OC036
50.3845312,16.9203204,JE012
50.1809535,17.0818627,JE029
49.7464138,17.3798823,OL022
49.9521112,17.1498560,SU004
49.9601762,17.1608980,SU002
49.9654732,17.1274361,SU 007
50.0533014,17.1978269,SU031
50.1052871,17.1748188,SU026
50.1040810,17.1567657,SU025
49.9672779,17.1190435,SU 048
50.3244472,17.1502065,JE017
50.4047175,16.9111903,JE007
50.6454450,15.1847161,JN0001
49.1168333,14.8860371,JH 061
49.0992478,14.8532640,JH 060
49.1852403,15.0304568,JH 045
49.1839147,14.9096095,JH 053
49.1312516,14.8672798,JH066
49.1297723,14.7899461,JH 068
49.1394187,14.8087899,JH 064
49.1057892,14.8238875,JH 058
49.2126927,14.1381790,PI 005
49.3952915,14.0856175,PI 002
49.4018855,14.1588243,PI 003
49.2226690,14.3038683,CB 008
49.2339172,14.2885510,PI 004
49.1034250,14.1225070,ST 006
49.0396099,14.1734068,PT 041
49.0604695,14.1279348,PT 040
49.1921599,14.0519943,ST 007
49.3618832,13.9234959,ST004
49.1723417,14.0902559,ST 002
49.1513615,14.0079916,ST 001
49.2093601,14.2699438,PI 001
48.9908043,15.4763398,JH 001
48.9301728,14.3195084,CB 009
48.9741060,14.2029646,CK 017
48.8773244,14.2491678,CK 010
48.6348451,14.5840735,CK 004
48.9413538,14.3070242,CK 005
48.6148335,14.5504318,CK 002
49.3511318,14.7314684,TA 013
49.1604153,14.5329593,CB 007
49.3827551,14.8000011,TA014
48.6513144,14.2345931,CK049
