Usedatum,narust,celkem
07/03/2023,3,13
08/03/2023,428,441
13/03/2023,2,443
19/03/2023,3,446
21/03/2023,2,448
22/03/2023,4,452
23/03/2023,1,453
24/03/2023,3,456
01/04/2023,6,462
02/04/2023,1,464
03/04/2023,1,464
09/04/2023,1,465
10/04/2023,1,466
18/04/2023,1,467
23/04/2023,1,468
25/04/2023,1,469
29/04/2023,1,470
02/05/2023,1,471
05/05/2023,2,473
08/05/2023,1,474
09/05/2023,7,481
11/05/2023,1,482
14/05/2023,2,484
17/05/2023,1,485
19/05/2023,1,486
23/05/2023,2,488
30/05/2023,7,495
04/06/2023,1,496
05/06/2023,1,497
06/06/2023,4,501
08/06/2023,1,503
12/06/2023,3,506
13/06/2023,1,507
18/06/2023,3,510
20/06/2023,4,514
22/06/2023,1,515
23/06/2023,1,516
25/06/2023,2,518
27/06/2023,2,520
02/07/2023,1,521
04/07/2023,2,523
06/07/2023,1,524
09/07/2023,1,525
11/07/2023,1,526
23/07/2023,4,530
31/07/2023,1,531
01/08/2023,1,532
05/08/2023,12,544
10/08/2023,4,548
11/08/2023,2,550
14/08/2023,1,551
16/08/2023,2,553
19/08/2023,31,584
04/09/2023,1,585
11/09/2023,1,586
20/09/2023,1,587
24/09/2023,1,588
28/09/2023,1,589
07/10/2023,1,590
10/10/2023,1,591
12/10/2023,1,592
14/10/2023,1,593
16/10/2023,1,594
17/10/2023,2,596
23/10/2023,1,597
25/10/2023,1,598
07/11/2023,2,600
14/11/2023,2,602
18/11/2023,1,603
02/12/2023,4,607
03/01/2024,4,611
04/01/2024,5,616
14/01/2024,1,617
27/01/2024,1,618
02/02/2024,1,619
11/02/2024,1,620
13/02/2024,1,621
20/02/2024,1,622
29/02/2024,1,623
04/03/2024,1,624
05/03/2024,1,625
10/03/2024,2,627
12/03/2024,2,629
17/03/2024,1,630
04/04/2024,2,632
09/04/2024,3,635
11/04/2024,1,636
12/04/2024,1,637
13/04/2024,3,640
14/04/2024,1,641
15/04/2024,2,643
16/04/2024,2,645
17/04/2024,1,646
22/04/2024,1,647
23/04/2024,1,648
27/04/2024,1,649
30/04/2024,3,652
14/05/2024,14,666
15/05/2024,1,667
16/05/2024,1,668
20/05/2024,3,671
30/05/2024,1,672
02/06/2024,1,673
10/06/2024,1,674
13/06/2024,1,675
14/06/2024,1,676
17/06/2024,2,678
18/06/2024,2,680
19/06/2024,5,685
21/06/2024,1,686
07/07/2024,1,687
10/07/2024,1,688
12/07/2024,1,689
15/07/2024,1,690
19/07/2024,2,692
02/08/2024,1,693
07/08/2024,3,696
12/08/2024,2,698
13/08/2024,2,700
15/08/2024,7,707
18/08/2024,1,708
19/08/2024,1,709
26/08/2024,1,710
02/09/2024,1,711
05/09/2024,1,712
06/09/2024,1,713
07/09/2024,4,717
13/09/2024,1,718
14/09/2024,4,722
17/09/2024,1,723
14/10/2024,1,724
25/10/2024,1,725
29/10/2024,1,726
31/10/2024,2,728
03/11/2024,1,729
05/11/2024,1,730
10/11/2024,1,731
24/11/2024,2,733
07/12/2024,1,734
30/12/2024,2,736
06/01/2025,1,737
09/01/2025,1,738
13/01/2025,1,739
25/01/2025,1,740
02/02/2025,1,741
26/02/2025,1,742
23/03/2025,1,743
24/03/2025,1,744
06/04/2025,2,746
08/04/2025,2,748
25/04/2025,9,757
27/04/2025,1,758
11/05/2025,3,761
14/05/2025,2,763
19/05/2025,3,766
26/05/2025,1,767
02/06/2025,1,768
08/06/2025,1,769
09/06/2025,3,772
10/06/2025,1,773
13/06/2025,2,775
15/06/2025,1,776
16/06/2025,1,777
24/06/2025,2,779
29/06/2025,2,781
30/06/2025,5,786
15/07/2025,2,788
18/07/2025,1,789
22/07/2025,2,791
25/07/2025,1,792
26/07/2025,1,793
02/08/2025,2,795
06/08/2025,5,800
08/08/2025,5,805
10/08/2025,1,806
11/08/2025,1,807
12/08/2025,1,808
13/08/2025,1,809
15/08/2025,3,812
20/08/2025,1,813
28/08/2025,1,814
